Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,115.84,117.49,112.63,117.27,107.55,6496800.0
2014-05-16,,,,,,
2014-06-01,117.56,119.57,115.83,118.52,109.12,5073700.0
2014-07-01,118.66,126.59,117.36,120.2,110.67,7824900.0
2014-08-01,120.18,126.6,118.28,124.95,115.04,6179800.0
2014-08-21,,,,,,
2014-09-01,125.29,127.32,120.43,121.08,111.87,7227500.0
2014-10-01,120.98,135.7,111.28,132.14,122.09,10246700.0
2014-11-01,131.77,137.83,131.37,135.33,125.03,8647400.0
2014-11-20,,,,,,
2014-12-01,135.0,140.22,131.38,136.74,126.83,5801300.0
2015-01-01,136.85,138.03,131.1,132.71,123.09,6105400.0
2015-02-01,131.2,148.41,129.14,147.23,136.56,8235900.0
2015-02-20,,,,,,
2015-03-01,147.85,148.32,140.84,147.06,136.9,7862200.0
2015-04-01,146.88,154.98,145.28,149.55,139.22,7452400.0
2015-05-01,149.86,158.13,149.58,155.4,144.67,4806700.0
2015-05-18,,,,,,
2015-06-01,155.54,162.26,154.18,159.25,148.75,7514900.0
2015-07-01,160.65,165.86,156.81,164.8,153.94,8233800.0
2015-08-01,164.85,170.7,150.48,159.77,149.24,8505800.0
2015-08-21,,,,,,
2015-09-01,156.99,161.94,147.98,150.94,141.44,9536600.0
2015-10-01,151.11,166.98,146.52,165.89,155.45,9050000.0
2015-11-01,165.86,173.14,163.8,172.16,161.32,6743700.0
2015-11-20,,,,,,
2015-12-01,172.48,174.52,166.1,171.43,161.22,7357700.0
2016-01-01,168.79,169.95,147.51,161.56,151.94,10602500.0
2016-02-01,158.45,162.03,133.09,144.67,136.05,15647100.0
2016-02-23,,,,,,
2016-03-01,146.14,160.0,144.92,156.99,148.25,10147400.0
2016-04-01,156.0,164.32,152.51,159.28,150.42,11180000.0
2016-05-01,159.68,165.33,155.43,161.82,152.82,9544800.0
2016-05-18,,,,,,
2016-06-01,160.92,163.6,147.5,157.82,149.59,10909200.0
2016-07-01,158.03,163.98,153.85,157.17,148.98,9386600.0
2016-08-01,157.0,157.92,150.82,153.29,145.3,9023900.0
2016-08-17,,,,,,
2016-09-01,153.53,154.75,146.08,151.96,144.62,9009400.0
2016-10-01,151.18,164.67,145.17,154.1,146.66,13248500.0
2016-11-01,154.58,172.01,151.67,167.2,159.12,9444300.0
2016-11-16,,,,,,
2016-12-01,167.14,177.86,166.25,171.27,163.69,7335300.0
2017-01-01,171.78,181.61,169.8,181.53,173.49,7132900.0
2017-02-01,181.73,181.73,164.27,169.67,162.16,12575300.0
2017-02-22,,,,,,
2017-03-01,172.24,174.5,162.24,168.67,161.87,9362500.0
2017-04-01,168.67,177.8,159.91,167.53,160.78,13217500.0
2017-05-01,168.38,171.78,158.39,161.66,155.14,11997000.0
2017-05-17,,,,,,
2017-06-01,161.98,165.44,152.49,158.0,152.26,14131000.0
2017-07-01,158.75,162.49,146.47,154.2,148.6,20526600.0
2017-08-01,154.64,156.45,140.83,147.57,142.21,14854800.0
2017-08-16,,,,,,
2017-09-01,148.0,150.38,144.18,149.01,144.28,10186100.0
2017-10-01,149.15,163.06,146.47,157.78,152.77,17640400.0
2017-11-01,158.17,171.8,155.12,169.43,164.05,10106100.0
2017-11-16,,,,,,
2017-12-01,169.21,176.75,165.45,174.3,169.65,9935600.0
2018-01-01,174.58,185.47,170.97,171.31,166.74,12806700.0
2018-02-01,170.09,171.67,154.5,159.22,154.97,15175800.0
2018-03-01,158.87,159.77,145.67,147.54,143.6,16775200.0
2018-03-01,,,,,,
2018-04-01,147.12,158.63,143.05,145.25,142.11,16746600.0
2018-05-01,144.62,155.04,141.63,147.82,144.62,9768300.0
2018-05-18,,,,,,
2018-06-01,148.78,164.56,148.3,160.72,158.1,11922600.0
2018-07-01,159.7,175.06,155.0,169.59,166.82,16209100.0
2018-08-01,169.1,180.54,165.9,176.78,173.89,10983800.0
2018-08-16,,,,,,
2018-09-01,176.97,189.46,176.09,183.6,181.47,9658600.0
2018-10-01,184.9,187.73,145.42,153.94,152.15,21426300.0
2018-11-01,153.75,166.46,152.53,166.24,164.31,11630300.0
2018-11-19,,,,,,
2018-12-01,169.1,169.3,135.29,145.29,144.43,12354300.0
2019-01-01,143.14,168.91,141.5,165.99,165.01,15284100.0
2019-02-01,165.98,167.22,150.25,160.0,159.06,13797400.0
2019-02-22,,,,,,
2019-03-01,161.19,162.16,149.79,156.52,156.52,12259300.0
2019-04-01,158.13,174.0,150.75,169.77,169.77,14212500.0
2019-04-26,168.0,169.96,167.06,169.77,169.77,294148.0
