Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,68.81,69.24,68.34,69.05,69.05,2669500
2019-04-02,69.1,69.1,68.2,68.42,68.42,4759500
2019-04-03,68.67,68.95,68.03,68.33,68.33,2630600
2019-04-04,68.25,69.41,68.01,69.02,69.02,3534800
2019-04-05,69.32,69.43,68.83,69.02,69.02,1221400
2019-04-08,68.84,69.09,68.49,68.94,68.94,1076800
2019-04-09,68.52,68.77,67.95,68.4,68.4,1341200
2019-04-10,68.57,68.91,68.17,68.78,68.78,1103000
2019-04-11,68.97,69.77,68.62,69.71,69.71,1395800
2019-04-12,70.0,70.73,69.8,70.5,70.5,1328500
2019-04-15,70.59,70.85,70.2,70.36,70.36,1141400
2019-04-16,70.51,71.55,69.91,71.43,71.43,1641400
2019-04-17,71.66,72.21,71.08,71.12,71.12,1205000
2019-04-18,71.73,71.95,71.22,71.44,71.44,2353100
2019-04-22,71.08,71.32,70.08,71.13,71.13,936300
2019-04-23,71.01,71.62,70.5,71.18,71.18,1346200
2019-04-24,71.08,71.71,70.7,71.48,71.48,1359900
2019-04-25,70.8,70.8,69.96,70.16,70.16,1314100
