Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,26.21,29.03,25.25,28.59,28.59,490841500
2014-06-01,28.61,33.05,28.05,32.95,32.95,612433700
2014-07-01,33.24,34.85,29.85,30.55,30.55,595653200
2014-08-01,30.88,33.7,29.38,32.6,32.6,418369900
2014-09-01,32.43,34.85,29.73,34.26,34.26,523512600
2014-10-01,34.25,34.4,26.32,33.09,33.09,774234700
2014-11-01,33.19,36.22,31.69,35.95,35.95,326389500
2014-12-01,35.98,36.59,32.37,35.01,35.01,359420900
2015-01-01,35.24,35.52,28.51,29.27,29.27,610045600
2015-02-01,29.25,32.84,28.09,30.67,30.67,434426600
2015-03-01,31.08,31.5,25.61,27.13,27.13,544654100
2015-04-01,27.13,29.78,26.4,28.13,28.13,436295800
2015-05-01,28.31,29.25,26.01,27.93,27.93,429768300
2015-06-01,27.96,28.53,18.55,18.84,18.84,703875600
2015-07-01,19.05,20.57,17.14,18.51,18.51,863792200
2015-08-01,18.61,19.47,13.5,16.41,16.41,699056400
2015-09-01,15.8,17.97,13.92,14.98,14.98,541386300
2015-10-01,14.99,19.3,14.5,16.56,16.56,697155500
2015-11-01,16.96,18.05,14.65,15.93,15.93,370952400
2015-12-01,16.18,16.63,13.51,14.16,14.16,503509000
2016-01-01,13.83,15.08,9.31,11.03,11.03,650993700
2016-02-01,11.0,11.75,9.45,10.63,10.63,461446600
2016-03-01,10.77,12.29,10.01,10.47,10.47,527818500
2016-04-01,10.28,12.41,10.05,10.75,10.75,517951000
2016-05-01,10.8,12.91,9.35,12.72,12.72,561747100
2016-06-01,12.61,14.16,11.58,13.76,13.76,697480700
2016-07-01,12.58,14.89,11.5,13.74,13.74,612699700
2016-08-01,13.81,17.25,13.02,16.49,16.49,529876300
2016-09-01,16.61,18.16,16.3,17.78,17.78,541893500
2016-10-01,17.99,18.33,16.17,17.16,17.16,539021800
2016-11-01,17.2,20.44,16.45,19.53,19.53,537889100
2016-12-01,19.7,23.64,18.18,21.92,21.92,631585800
2017-01-01,22.07,24.24,21.49,24.11,24.11,446792700
2017-02-01,24.43,25.31,22.64,23.44,23.44,485701900
2017-03-01,24.16,29.87,24.07,28.9,28.9,728136900
2017-04-01,28.95,29.04,26.36,27.67,27.67,460534300
2017-05-01,27.85,31.1,26.96,30.77,30.77,509074400
2017-06-01,30.75,32.96,29.21,29.86,29.86,772196700
2017-07-01,30.09,32.35,27.87,28.12,28.12,562390400
2017-08-01,28.22,32.02,26.85,31.97,31.97,543420400
2017-09-01,32.13,39.36,31.65,39.33,39.33,731278700
2017-10-01,39.6,44.57,38.81,44.31,44.31,1305721600
2017-11-01,44.79,49.89,41.86,42.39,42.39,694728700
2017-12-01,41.73,46.8,39.07,41.12,41.12,1286063000
2018-01-01,41.54,46.98,41.19,43.72,43.72,830947100
2018-02-01,43.04,49.46,37.52,48.81,48.81,831358900
2018-03-01,48.77,63.42,45.95,52.14,52.14,1549894000
2018-04-01,51.54,54.27,45.32,45.98,45.98,1075226000
2018-05-01,45.59,64.66,45.33,57.59,57.59,1159332300
2018-06-01,58.81,62.55,51.79,52.44,52.44,1034243300
2018-07-01,51.52,58.15,50.1,52.79,52.79,730418300
2018-08-01,52.66,53.68,45.62,52.52,52.52,695704700
2018-09-01,52.14,52.3,40.68,45.23,45.23,880109200
2018-10-01,45.44,46.69,33.82,37.72,37.72,821867500
2018-11-01,37.98,41.43,34.05,38.56,38.56,560230000
2018-12-01,40.2,40.24,28.39,31.73,31.73,739529700
2019-01-01,31.0,39.31,30.75,38.22,38.22,771102100
2019-02-01,38.31,43.99,37.36,40.88,40.88,610094300
2019-03-01,41.64,44.21,36.57,41.33,41.33,684524400
2019-04-01,42.27,44.85,40.77,42.1,42.1,453085800
2019-04-26,41.49,42.28,40.76,42.1,42.1,26092422
