Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,290.01,293.44,275.36,277.76,277.76,980600
2019-04-02,277.77,284.98,275.53,284.2,284.2,550000
2019-04-03,286.86,288.47,283.91,284.94,284.94,576000
2019-04-04,284.4,286.91,277.65,282.87,282.87,691900
2019-04-05,282.87,288.09,282.13,284.91,284.91,549400
2019-04-08,285.4,286.5,278.21,282.95,282.95,600500
2019-04-09,281.53,284.41,281.19,281.65,281.65,490000
2019-04-10,282.77,282.77,278.24,280.54,280.54,591200
2019-04-11,280.18,280.49,270.25,271.89,271.89,849800
2019-04-12,272.14,273.0,267.6,270.08,270.08,950000
2019-04-15,271.45,276.79,270.68,272.3,272.3,884300
2019-04-16,273.95,275.52,264.54,265.95,265.95,563000
2019-04-17,267.58,267.86,250.3,251.49,251.49,1020100
2019-04-18,252.5,257.07,244.08,256.56,256.56,1183100
2019-04-22,255.7,263.79,254.5,260.93,260.93,764900
2019-04-23,260.81,263.95,256.16,262.18,262.18,737700
2019-04-24,260.06,276.77,258.02,270.83,270.83,1113300
2019-04-25,268.9,278.47,265.0,268.13,268.13,592600
