Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,121.22,123.48,117.5,121.55,111.63,21325600.0
2014-05-29,,,,,,
2014-06-01,121.32,124.92,119.3,119.63,110.51,21515600.0
2014-07-01,119.33,128.46,118.23,123.27,113.87,21623600.0
2014-08-01,122.91,128.66,119.97,127.22,117.52,18662600.0
2014-08-28,,,,,,
2014-09-01,128.41,134.24,126.74,131.76,122.39,21875700.0
2014-10-01,130.61,139.22,118.24,137.96,128.15,30499300.0
2014-11-01,137.79,142.51,134.83,140.93,130.9,19999300.0
2014-11-26,,,,,,
2014-12-01,140.72,153.19,138.68,147.39,137.59,30057800.0
2015-01-01,148.29,159.2,141.58,156.95,146.51,39583900.0
2015-02-01,157.29,172.3,154.69,165.71,154.69,25095200.0
2015-02-26,,,,,,
2015-03-01,165.61,167.73,156.32,160.96,150.88,33380800.0
2015-04-01,160.09,165.95,152.78,154.04,144.39,21629800.0
2015-05-01,154.87,161.79,152.44,159.18,149.21,20462200.0
2015-05-28,,,,,,
2015-06-01,159.09,166.55,156.18,158.63,149.45,24435600.0
2015-07-01,159.64,176.5,158.1,173.01,162.99,25286500.0
2015-08-01,172.85,176.83,152.31,163.74,154.26,23897900.0
2015-08-27,,,,,,
2015-09-01,160.75,173.49,158.84,165.95,157.11,23560200.0
2015-10-01,166.0,193.99,162.68,187.75,177.74,28750000.0
2015-11-01,188.48,190.15,178.6,186.36,176.43,21057400.0
2015-11-25,,,,,,
2015-12-01,187.09,191.87,182.01,188.81,179.51,25210900.0
2016-01-01,185.98,193.2,175.0,185.06,175.95,29668700.0
2016-02-01,186.38,194.8,180.1,192.22,182.75,26237900.0
2016-02-25,,,,,,
2016-03-01,193.34,199.5,185.08,197.9,188.95,24010200.0
2016-04-01,196.59,208.99,195.66,206.26,196.93,19245400.0
2016-05-01,206.87,218.84,205.83,212.67,203.05,18465900.0
2016-06-01,211.57,223.11,208.29,222.28,212.23,18911800.0
2016-06-02,,,,,,
2016-07-01,222.5,224.12,215.62,216.63,207.7,23378700.0
2016-08-01,215.86,220.52,210.62,212.07,203.33,17184600.0
2016-08-25,,,,,,
2016-09-01,212.2,218.67,206.69,213.95,206.0,16028600.0
2016-10-01,213.0,230.0,212.02,229.0,220.49,20296100.0
2016-11-01,229.5,253.8,224.72,249.65,240.38,26769800.0
2016-12-01,248.85,252.02,220.72,232.58,223.94,25138400.0
2016-12-01,,,,,,
2017-01-01,234.1,237.92,223.88,229.08,221.37,22501200.0
2017-02-01,228.72,249.43,227.73,247.09,238.77,18506800.0
2017-03-01,247.87,248.88,233.2,237.84,229.83,19529500.0
2017-03-02,,,,,,
2017-04-01,237.58,250.0,235.16,245.96,238.55,16469700.0
2017-05-01,246.3,259.22,243.39,259.22,251.41,17466200.0
2017-06-01,257.73,262.59,252.82,256.71,248.98,14298900.0
2017-06-01,,,,,,
2017-07-01,257.53,266.81,256.65,263.13,256.19,11677900.0
2017-08-01,263.32,274.61,263.04,272.21,265.03,14640800.0
2017-08-24,,,,,,
2017-09-01,272.03,287.81,264.36,287.72,281.17,15657700.0
2017-10-01,288.5,306.61,287.22,295.53,288.81,15024100.0
2017-11-01,295.67,309.76,293.88,307.4,300.41,14401800.0
2017-12-01,307.0,311.15,297.0,306.91,299.93,14508900.0
2017-12-01,,,,,,
2018-01-01,307.35,344.2,303.21,340.53,333.87,17991300.0
2018-02-01,340.53,359.43,313.01,350.04,343.19,23901200.0
2018-03-01,351.12,358.5,334.4,349.12,342.29,20983800.0
2018-03-02,,,,,,
2018-04-01,349.25,360.88,318.01,322.04,316.77,22338500.0
2018-05-01,322.21,333.93,302.35,327.25,321.89,29987400.0
2018-06-01,327.64,340.14,303.02,307.7,302.66,21676600.0
2018-06-01,,,,,,
2018-07-01,306.44,325.28,287.09,300.49,296.66,26727200.0
2018-08-01,300.0,301.46,289.3,298.49,294.68,24355000.0
2018-08-24,,,,,,
2018-09-01,297.68,319.1,295.76,317.37,314.59,23806200.0
2018-10-01,318.05,321.72,251.66,261.95,259.66,31491100.0
2018-11-01,263.47,288.54,254.84,259.88,257.6,31140100.0
2018-11-30,,,,,,
2018-12-01,262.41,279.03,223.63,244.9,243.88,32754800.0
2019-01-01,241.17,284.55,237.08,275.55,274.4,23479200.0
2019-02-01,276.91,291.55,272.54,289.96,288.75,16947600.0
2019-02-22,,,,,,
2019-03-01,291.0,291.35,263.29,269.6,269.6,19829200.0
2019-04-01,271.13,294.92,264.5,283.13,283.13,17283100.0
2019-04-26,279.86,284.84,277.64,283.13,283.13,938977.0
