Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,30.65,30.85,30.28,30.78,30.78,1732100
2019-04-02,30.79,30.98,30.56,30.94,30.94,3415900
2019-04-03,30.91,31.07,30.67,30.87,30.87,1988000
2019-04-04,30.97,30.97,30.63,30.8,30.8,1462700
2019-04-05,30.75,31.0,30.68,30.97,30.97,1746200
2019-04-08,31.0,31.03,30.58,30.65,30.65,2114000
2019-04-09,30.63,30.7,30.35,30.4,30.4,4279400
2019-04-10,30.54,30.84,30.4,30.83,30.83,3332000
2019-04-11,30.97,31.07,30.5,30.62,30.62,3118500
2019-04-12,30.6,30.91,30.44,30.86,30.86,2286000
2019-04-15,30.89,30.92,30.5,30.61,30.61,1169600
2019-04-16,30.63,30.71,29.71,29.9,29.9,1984400
2019-04-17,30.01,30.01,29.6,29.71,29.71,1472200
2019-04-18,29.72,30.17,29.69,30.13,30.13,1546500
2019-04-22,30.1,30.1,29.48,29.73,29.73,1383100
2019-04-23,29.86,30.26,29.81,30.25,30.25,993600
2019-04-24,30.42,30.59,30.22,30.56,30.56,1730500
2019-04-25,30.44,30.96,30.44,30.82,30.82,2061800
