Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,162.83,166.8,161.41,166.46,137.58,26177900.0
2014-05-14,,,,,,
2014-05-29,,,,,,
2014-06-01,166.33,170.34,162.56,166.28,138.53,29832600.0
2014-07-01,166.87,172.72,164.94,168.19,140.12,24723900.0
2014-08-01,166.13,171.49,165.02,170.03,141.65,25864800.0
2014-08-13,,,,,,
2014-09-01,170.62,173.31,162.43,164.42,138.05,28244600.0
2014-10-01,164.29,179.61,163.41,179.21,150.47,34268800.0
2014-11-01,179.8,184.03,175.36,180.8,151.8,28331600.0
2014-11-12,,,,,,
2014-12-01,180.38,188.18,178.29,182.11,154.01,28067900.0
2015-01-01,183.15,206.31,182.97,198.66,168.01,30810500.0
2015-02-01,199.04,203.5,186.79,190.36,160.99,26100700.0
2015-02-11,,,,,,
2015-03-01,190.49,199.09,178.84,195.64,166.65,39728900.0
2015-04-01,195.82,202.28,180.55,181.49,154.6,27821400.0
2015-05-01,181.76,189.26,180.1,181.4,154.52,28088700.0
2015-05-13,,,,,,
2015-06-01,181.64,184.08,170.99,173.02,148.59,31456900.0
2015-07-01,171.87,200.23,171.87,187.22,160.79,25201000.0
2015-08-01,187.15,195.17,176.88,179.32,154.0,30778900.0
2015-08-13,,,,,,
2015-09-01,176.64,188.3,173.09,183.72,159.06,26272900.0
2015-10-01,184.68,208.14,183.62,201.46,174.42,26337800.0
2015-11-01,201.59,206.35,184.59,186.24,161.25,25573900.0
2015-11-12,,,,,,
2015-12-01,187.04,196.33,180.55,194.44,169.75,28312400.0
2016-01-01,192.31,196.76,177.55,186.28,162.63,28849000.0
2016-02-01,185.58,192.91,176.11,189.73,165.64,27332000.0
2016-02-10,,,,,,
2016-03-01,190.77,208.12,190.7,207.69,182.95,26326800.0
2016-04-01,207.5,210.41,199.11,201.17,177.21,24616500.0
2016-05-01,202.78,214.8,190.82,197.64,174.1,35542500.0
2016-05-13,,,,,,
2016-06-01,196.59,217.17,196.11,216.9,192.58,27712700.0
2016-07-01,217.53,229.1,213.87,227.04,201.58,21656600.0
2016-08-01,226.86,228.47,210.27,215.47,191.31,27016000.0
2016-08-15,,,,,,
2016-09-01,214.89,219.41,206.02,207.01,185.21,26910400.0
2016-10-01,206.29,206.29,181.85,185.96,166.38,30908500.0
2016-11-01,184.99,189.25,174.91,179.65,160.74,31664400.0
2016-11-14,,,,,,
2016-12-01,178.92,187.69,173.11,177.67,160.41,29958500.0
2017-01-01,179.09,188.1,176.62,183.77,165.92,42488800.0
2017-02-01,185.38,187.35,176.84,184.4,166.49,28868100.0
2017-02-10,,,,,,
2017-03-01,184.27,184.88,163.55,172.03,156.83,47860700.0
2017-04-01,172.28,176.17,164.83,165.26,150.66,34012800.0
2017-05-01,166.22,170.24,152.09,154.25,140.62,52127400.0
2017-05-15,,,,,,
2017-06-01,154.0,165.38,150.15,161.76,149.12,43606000.0
2017-07-01,162.36,166.96,153.14,158.5,146.12,30914300.0
2017-08-01,165.25,167.12,152.51,156.85,144.6,38521400.0
2017-08-15,,,,,,
2017-09-01,157.52,165.19,156.0,161.01,150.12,28657200.0
2017-10-01,161.18,167.82,153.71,155.33,144.82,31728900.0
2017-11-01,155.99,165.83,153.74,161.75,150.81,42105500.0
2017-11-15,,,,,,
2017-12-01,162.2,172.35,160.74,171.74,161.99,35186800.0
2018-01-01,172.34,173.02,158.56,163.37,154.09,38683100.0
2018-02-01,163.61,164.83,151.27,153.51,144.79,41009300.0
2018-02-13,,,,,,
2018-03-01,153.3,159.32,147.28,154.35,147.42,37209900.0
2018-04-01,154.57,157.5,145.78,156.34,149.32,34775800.0
2018-05-01,158.25,162.44,152.5,160.22,153.03,36885600.0
2018-05-16,,,,,,
2018-06-01,160.56,173.26,159.0,170.19,164.62,34399800.0
2018-07-01,170.15,177.18,166.95,176.21,170.45,28048500.0
2018-08-01,175.5,183.08,173.79,183.03,177.04,29940100.0
2018-08-16,,,,,,
2018-09-01,183.0,186.03,174.89,176.75,172.92,26558800.0
2018-10-01,176.79,188.21,168.41,183.52,179.55,41775500.0
2018-11-01,184.27,191.16,177.77,185.69,181.67,27224800.0
2018-11-15,,,,,,
2018-12-01,186.5,191.49,159.77,167.99,166.12,33063100.0
2019-01-01,166.35,182.62,163.63,182.12,180.1,30900600.0
2019-02-01,184.58,186.44,176.6,181.16,179.15,28032600.0
2019-02-13,,,,,,
2019-03-01,181.16,183.92,172.02,182.21,182.21,31270500.0
2019-04-01,182.68,186.4,171.95,178.61,178.61,18718900.0
2019-04-26,178.43,179.67,177.49,178.61,178.61,825785.0
