Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,1039.33,1048.53,1018.22,1029.71,1029.71,332400
2019-04-02,1032.0,1044.38,1029.79,1041.98,1041.98,202700
2019-04-03,1046.56,1049.58,1041.84,1045.53,1045.53,187100
2019-04-04,1044.47,1048.87,1033.95,1040.69,1040.69,219200
2019-04-05,1045.0,1049.73,1037.27,1048.52,1048.52,252000
2019-04-08,1048.16,1058.31,1044.0,1052.54,1052.54,290100
2019-04-09,1050.0,1054.41,1037.66,1040.4,1040.4,276700
2019-04-10,1046.88,1062.52,1042.32,1060.17,1060.17,324900
2019-04-11,1063.67,1070.92,1058.73,1068.57,1068.57,261400
2019-04-12,1069.85,1072.22,1055.02,1060.3,1060.3,247400
2019-04-15,1064.31,1074.67,1057.33,1064.59,1064.59,324100
2019-04-16,1069.34,1069.96,1057.96,1061.59,1061.59,245900
2019-04-17,1067.0,1069.47,1040.5,1051.37,1051.37,230700
2019-04-18,1048.93,1050.27,1032.07,1045.05,1045.05,268800
2019-04-22,1045.0,1047.11,1035.0,1035.2,1035.2,234100
2019-04-23,1035.48,1060.76,1032.09,1047.76,1047.76,308400
2019-04-24,1048.66,1056.94,1040.63,1042.6,1042.6,206800
2019-04-25,1034.96,1046.62,1023.08,1042.35,1042.35,370200
