Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,32.8,32.98,32.42,32.5,32.5,7969100
2019-04-02,32.56,32.73,32.02,32.08,32.08,9344000
2019-04-03,32.24,32.36,32.02,32.25,32.25,8431100
2019-04-04,32.3,32.79,32.11,32.69,32.69,7574200
2019-04-05,32.69,33.2,32.62,33.17,33.17,8852400
2019-04-08,33.23,33.37,32.96,33.19,33.19,6571100
2019-04-09,33.16,33.23,32.85,32.95,32.95,6398800
2019-04-10,32.98,33.07,32.7,32.98,32.98,6323800
2019-04-11,33.08,33.19,32.8,32.99,32.99,6022200
2019-04-12,33.12,33.32,32.91,33.07,33.07,5278400
2019-04-15,33.09,33.18,32.84,33.14,33.14,5232900
2019-04-16,33.07,33.5,33.01,33.04,33.04,4618200
2019-04-17,33.05,33.11,32.85,32.89,32.89,6532700
2019-04-18,33.02,33.08,32.85,32.96,32.96,6834200
2019-04-22,33.53,33.78,32.81,32.9,32.9,10441400
2019-04-23,32.93,33.17,32.85,33.1,33.1,9615900
2019-04-24,32.86,32.9,32.33,32.76,32.76,8443100
2019-04-25,32.67,32.74,32.44,32.52,32.52,6196300
